latitude,longitude,altitude
36.08295,140.07705,0
36.08295,140.07705,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07704,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08293,140.07705,0
36.08292,140.07704,0
36.08291,140.07704,0
36.0829,140.07704,0
36.08289,140.07704,0
36.08289,140.07704,0
36.08289,140.07703,0
36.08289,140.07701,0
36.08289,140.077,0
36.08289,140.07698,0
36.08289,140.07696,0
36.08289,140.07695,0
36.08289,140.07693,0
36.0829,140.07691,0
36.0829,140.0769,0
36.0829,140.07688,0
36.0829,140.07687,0
36.0829,140.07685,0
36.0829,140.07683,0
36.0829,140.07681,0
36.0829,140.0768,0
36.0829,140.07678,0
36.08291,140.07676,0
36.08291,140.07674,0
36.08291,140.07673,0
36.08291,140.07671,0
36.08291,140.0767,0
36.08291,140.07668,0
36.08291,140.07666,0
36.08291,140.07664,0
36.08292,140.07662,0
36.08292,140.07661,0
36.08292,140.07659,0
36.08292,140.07657,0
36.08292,140.07656,0
36.08292,140.07654,0
36.08292,140.07652,0
36.08292,140.0765,0
36.08293,140.07648,0
36.08293,140.07646,0
36.08293,140.07644,0
36.08293,140.07642,0
36.08293,140.0764,0
36.08293,140.07639,0
